item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
caelanhuntress_twitter_65f721c6,0.09,True,8000000000000000,261,True
caitlingarzi_twitter_5c8de85e,1090.52,False,deb745382adc218d,305,False
caitlynbates_twitter_f479a375,2683.27,False,e817f863c1aec2d4,306,False
calculatedstepz_twitter_e1211123,80.41,True,dfe422c6c1f88c65,307,False
calebkinchlow_twitter_76d51bbc,329.65,False,bcb453b9d00becc2,308,False
calfn_twitter_615be962,1300.86,False,850456d65c7c92df,309,False
calistoga_twitter_780e5c7e,3330.43,False,81766d0f1ed867c1,310,False
calitoe_twitter_d9d9c8fd,886.59,False,eb63999c84b39332,311,False
calvia_twitter_ae151315,1089.89,False,b30dc97da82fe308,312,False
camillek_twitter_141eee87,2785.04,False,c3ba00e6fa33169e,313,False
camillerodriquez_twitter_49cf2eee,1228.56,False,8fcf2c79a5303439,314,False
camillevanneer_twitter_8092d25c,59.5,True,e363949c0c6be333,315,False
camiloathem_twitter_7abaf108,1191.74,False,b3b4829b44c9eb87,316,False
campervan_twitter_0e961c09,1134.34,False,e7e50d53232d1d34,317,False
cancunstudios_twitter_854fa98d,1510.42,False,e1959e6a61543f85,318,False
capitu_twitter_12d37449,2374.79,False,c0783b663e943b93,319,False
caravanacreativa_twitter_51f26755,2861.25,False,803757cc1e617973,320,False
carlarozman_twitter_2a5e352b,1090.03,False,c14e3eb1c14e3eb1,321,False
carlayashiro_twitter_bb547c88,223.05,False,dcf26163676521a6,322,False
carlescabrer_twitter_2eea5647,261.25,False,eb8ab4269c95b474,323,False
carlospl_twitter_ea765a41,1496.16,False,d093036d4f3e3879,324,False
carlycasper_twitter_1a14e789,107.51,False,939a6563494927cf,325,False
carlydamico_twitter_c4192cee,2070.26,False,d09e2fe12d03b22f,326,False
carmenmg5_twitter_2c305a72,484.06,False,dc31e67633cc8c62,327,False
carolyncummins_twitter_6955b25f,523.73,False,ce667619e30c319b,328,False
carovillalva_twitter_2801aeea,1607.85,False,f989378632bac833,329,False
carriebisme_twitter_429cd920,2291.08,False,92a26de1a317d59c,330,False
carsonbelinda_twitter_84227a7e,1054.29,False,9aa5e97a968682d6,331,False
