item_id,width,height,aspect_ratio,file_size_kb
danzenbinos_twitter_b356a406,400,400,1.0,25.78
daphnecheung_twitter_066f0253,400,400,1.0,11.46
daphnemaia_twitter_7a44e1c8,400,400,1.0,18.38
dargadgetz_twitter_cbf72175,400,400,1.0,17.98
dari0_twitter_ea3c410f,400,400,1.0,27.83
darleenepowells_twitter_174e051d,400,400,1.0,18.29
darraghdoyle_twitter_e307fd7a,400,400,1.0,41.78
darrenlawson_twitter_ac20bd72,222,222,1.0,1.38
darrent_twitter_68c4e428,400,400,1.0,10.6
darrenwoolley_twitter_f6bb37d4,400,400,1.0,20.23
darrylpropp_twitter_0168deaf,400,400,1.0,33.72
darrymorales_twitter_7904179d,400,400,1.0,36.75
dashable_twitter_d63199fa,400,400,1.0,48.63
daveballesteros_twitter_9911bb49,400,400,1.0,26.34
davecornthwaite_twitter_669fd37e,400,400,1.0,20.53
davefernandez_twitter_965d60af,240,240,1.0,14.9
