model,calibrator,threshold,tp,fp,fn,tn,precision,recall,f1
rf,sigmoid,0.23,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.24000000000000002,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.25,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.26,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.27,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.28,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.29000000000000004,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.3,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.31,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.32,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.33,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.34,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.35000000000000003,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.36000000000000004,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.37,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.38,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.39,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
rf,sigmoid,0.4,1207,8129,0,453572,0.12928449014567267,1.0,0.22896708716684055
