Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
royaume des pays bas,royaume des pays bas,royaume des pays bas,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Russia, Moscow","russia, moscow","russia, moscow",text_location,1,,
,,,unknown,0,,
Finland,finland,finland,text_location,1,,
,,,unknown,0,,
Paderno Dugnano,paderno dugnano,paderno dugnano,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
San Diego,san diego,san diego,text_location,1,,
,,,unknown,0,,
"Los Angeles, California","los angeles, california","los angeles, california",text_location,1,,
"New Delhi, India","new delhi, india","new delhi, india",text_location,1,,
Izmir Konak,izmir konak,izmir konak,text_location,1,,
,,,unknown,0,,
LA,la,la,text_location,1,,
,,,unknown,0,,
"Texas, USA","texas, usa","texas, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
México,méxico,méxico,text_location,1,,
Global,global,global,text_location,1,,
,,,unknown,0,,
paris // bordeaux,paris // bordeaux,paris  bordeaux,text_location,1,,
,,,unknown,0,,
Planet Earth,planet earth,planet earth,text_location,1,,
Ticino,ticino,ticino,text_location,1,,
"Hermosillo, Sonora","hermosillo, sonora","hermosillo, sonora",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Berkeley, CA","berkeley, ca","berkeley, ca",text_location,1,,
,,,unknown,0,,
Medellín - Colombia,medellín - colombia,medellín - colombia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Portland, Oregon","portland, oregon","portland, oregon",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Edmond, OK","edmond, ok","edmond, ok",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Denver, CO","denver, co","denver, co",text_location,1,,
,,,unknown,0,,
"Tampa Bay Area, Florida","tampa bay area, florida","tampa bay area, florida",text_location,1,,
London,london,london,text_location,1,,
Winnipeg,winnipeg,winnipeg,text_location,1,,
"Phoenix, AZ","phoenix, az","phoenix, az",text_location,1,,
,,,unknown,0,,
"Brighton, UK","brighton, uk","brighton, uk",text_location,1,,
,,,unknown,0,,
"Orlando, FL","orlando, fl","orlando, fl",text_location,1,,
"Weston-super-Mare, Somerset","weston-super-mare, somerset","weston-super-mare, somerset",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Shanghai,shanghai,shanghai,text_location,1,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
ATX,atx,atx,text_location,1,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
La Palmera,la palmera,la palmera,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Kingston,kingston,kingston,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Madrid,madrid,madrid,text_location,1,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
"Berlin, Germany","berlin, germany","berlin, germany",text_location,1,,
