source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
adamchristianson,twitter,4,bookkeepergirl,twitter,0.917329,0.881719,0.952939,0.486376,0.306794,False
adamchristianson,twitter,5,zableckis,twitter,0.913689,0.879617,0.947761,0.490679,0.323231,False
adamchristianson,twitter,6,chrisparkin,twitter,0.913524,0.877273,0.949775,0.495433,0.316939,False
adamchristianson,twitter,7,coreyjo,twitter,0.908875,0.880001,0.937749,0.489896,0.352848,False
adamchristianson,twitter,8,nicholaschen,twitter,0.907516,0.866835,0.948198,0.516072,0.321876,False
adamchristianson,twitter,9,joem,twitter,0.904908,0.855299,0.954517,0.537961,0.301606,False
adamchristianson,twitter,10,zia505,twitter,0.904586,0.861583,0.94759,0.526151,0.323758,False
adamchristianson,twitter,11,seancoyne,twitter,0.904525,0.867015,0.942035,0.515722,0.340486,False
adamchristianson,twitter,12,gwalter,twitter,0.903703,0.860496,0.946911,0.528211,0.325851,False
adamchristianson,twitter,13,lavalion,twitter,0.903578,0.856237,0.950919,0.536215,0.313309,False
adamchristianson,twitter,14,sudol,twitter,0.902922,0.852993,0.952851,0.54223,0.307081,False
adamchristianson,twitter,15,mathieurensen,twitter,0.902884,0.857734,0.948034,0.533416,0.322386,False
adamchristianson,twitter,16,cristianovalim,twitter,0.902192,0.872826,0.931559,0.50433,0.369975,False
adamchristianson,twitter,17,odile,twitter,0.901569,0.848134,0.955005,0.551119,0.299985,False
adamchristianson,twitter,18,benlizzotte,twitter,0.900148,0.853137,0.947159,0.541966,0.325088,False
adamchristianson,twitter,19,royterp,twitter,0.899316,0.86642,0.932212,0.516876,0.368207,False
adamchristianson,twitter,20,juanramar,twitter,0.898992,0.844651,0.953334,0.557403,0.305502,False
adamthede,twitter,1,sio,twitter,0.828686,0.716369,0.941004,0.753168,0.343499,False
adamthede,twitter,2,nicholaschen,twitter,0.828684,0.717447,0.939921,0.751735,0.346638,False
adamthede,twitter,3,fabioj,twitter,0.823636,0.700876,0.946397,0.773465,0.327424,False
adamthede,twitter,4,odile,twitter,0.822485,0.727428,0.917541,0.738339,0.4061,False
adamthede,twitter,5,jimbgreen,twitter,0.822245,0.718717,0.925772,0.750044,0.385299,False
adamthede,twitter,6,mycroft221,twitter,0.820598,0.714786,0.926409,0.755267,0.383642,False
adamthede,twitter,7,noslo,twitter,0.819899,0.693594,0.946205,0.782823,0.328011,False
adamthede,twitter,8,timbr,twitter,0.818595,0.698821,0.93837,0.776117,0.351085,False
adamthede,twitter,9,yannispatras,twitter,0.818479,0.690701,0.946257,0.78651,0.32785,False
adamthede,twitter,10,johnson2772,twitter,0.817441,0.716021,0.918859,0.753629,0.402842,False
adamthede,twitter,11,bscheckel,twitter,0.816419,0.707493,0.925345,0.764862,0.386407,False
adamthede,twitter,12,isaacbf,twitter,0.811203,0.688725,0.93368,0.789018,0.364198,False
adamthede,twitter,13,satotaka,twitter,0.810029,0.707643,0.912415,0.764666,0.418534,False
adamthede,twitter,14,migueldecastro,twitter,0.80978,0.716744,0.902816,0.75267,0.440872,False
